ID,SNM,STYP,FND,RGN,USC,SCR_EST_2014,SCR_EST_2015,SCR_EST_2016,SCR_EST_2017,SCR_EST_2018,SCR_EST_2019,SCR_EST_2020,SCR_EST_2021,SCR_EST_2022,SCR_EST_2023,SCR_EST_2024,SCR_EST_2025,SCR_EST_2026
447,한일장신대학교,대학,사립,전북,C그룹,44.66894692173312,44.37937804785553,44.27097063831316,43.32888611985436,69.34685309824336,68.69501558722823,67.69516708113635,67.3503974773113,67.37368911221004,67.40305946148648,67.94432855212517,67.68735,68.07607
448,한중대학교,대학,사립,강원,C그룹,44.418578268696166,44.12384404738896,44.00314925522737,43.22947827804616,71.47442629784574,71.45543955542153,71.4478098271952,71.44780982719523,71.44780982719521,71.4478098271952,71.4478098271952,71.44167,71.40503
449,합동신학대학원대학교,대학원대학,사립,경기,-,44.66499135467026,44.38147849859455,44.270499752989345,51.438485663082425,74.06248031874034,74.05858246927797,74.05858246927798,74.06248031874034,68.21459622406233,68.7504755196126,74.05898569508443,73.388306,72.426735
450,해군사관학교,기타,기타,경남,-,44.667806751649934,44.11736419318575,43.99318573625144,43.22078354815152,67.84337488547523,68.9874204553362,68.9220810566857,71.38388737307407,69.72071352051329,69.2827798190806,71.23848504413824,72.12494,71.48258
451,협성대학교,대학,사립,경기,C그룹,44.41730947961487,44.11455989688045,43.993759613855566,43.19995778500583,69.65353917094673,68.73894436251793,67.50399386580123,67.17287000218133,67.18923584507847,67.23723370953994,67.23070565120472,67.21561,67.11789
452,혜전대학교,전문대학,사립,충남,B그룹,44.41730947961487,44.11736419318575,43.97880303976364,43.233803458159294,68.4964389584489,67.46823466900884,67.88366811927021,67.42674816244275,70.61807910406951,68.74855483537914,69.89301030623733,69.56476,68.84512
453,호남대학교,대학,사립,광주,B그룹,44.47523511621008,44.11195850577961,43.98203075228255,43.18329985158001,67.39758965266348,67.37527759018525,67.93239991548145,67.32519710226444,67.99828570551134,67.32232521023192,67.28331952894405,68.937546,67.82635
454,호남신학대학교,대학,사립,광주,C그룹,44.50887126800657,44.21576019828919,44.10189689602954,43.30160196196201,67.44573439714767,67.38559031622954,67.35950198411587,67.6941431667134,67.36707514369749,67.33243463126749,67.33565290774273,67.3321,67.29035
455,호산대학교,전문대학,사립,경북,C그룹,44.41730947961487,44.11736419318575,43.99318573625144,43.21029881124786,70.756342723979,70.1152571714442,70.11500127343179,69.3568029338925,67.36236495531098,68.86233595647376,67.8084279655207,68.495575,67.623825
456,호서대학교,대학,사립,충남,A그룹,44.420659046136976,44.1484692710407,44.16033042133244,43.29714597816829,67.91574546972286,67.37191990709977,67.28852491207653,67.42827917787871,67.14998262915672,67.56466681277502,67.83398164909387,67.77223,68.03439
457,호원대학교,대학,사립,전북,B그룹,44.41310754264717,44.113140200848896,43.9867133571451,43.19738644894299,67.38614112885456,67.34407667534627,67.21641267643359,67.20629853864261,67.21859662529722,67.30144137845762,67.26443769567676,67.30853,67.42053
458,홍익대학교,대학,사립,서울,A그룹,44.73458026084957,44.39154927637932,44.41046247277671,43.50339595805727,69.6877402728153,69.39082111734496,69.46871205561767,68.9206825102196,69.08778712990015,70.18593287954837,72.67903644842009,71.70072,72.38485
459,화성의과학대학교,대학,사립,경기,C그룹,44.41730947961487,44.11736419318575,43.99318573625144,43.22078354815152,71.47982104514391,71.4514508042737,71.48863287049932,71.49801636894533,71.49801636894533,71.48278361286278,67.77769289703348,69.60759,69.35036
460,화신사이버대학교,대학,사립,부산,C그룹,44.41730947961487,44.11736419318575,43.99318573625144,43.22078354815152,71.47442629784574,71.45543955542153,71.4478098271952,71.44780982719523,71.44780982719521,71.4478098271952,71.4478098271952,71.44167,71.40503
461,횃불트리니티신학대학원대학교,대학원대학,사립,서울,-,44.667806751649934,44.37758928687666,44.27307108905217,43.349687710123256,68.68170293099674,68.1954306615229,70.46472443342395,68.43368316552355,68.67288445962691,69.2606399631906,68.18908557982071,68.74615,70.01568
